,Date,turnover_buy,turnover_sell,return_buy,return_sell
20201223,20201223,107916611.6,10661.12,0.00111,0.00263
20201224,20201224,104785422.9,18436666.71,0.00173,0.00104
20201225,20201225,51969898.31,51413938.96,0.00451,0.0015
20201228,20201228,51623672.06,50992986.52,0.00138,0.00192
20201229,20201229,50425773.12,50318092.21,0.0006,0.00185
20201230,20201230,77727580.47,77235685.67,0.00223,0.00133
20201231,20201231,80749422.08,53995018.52,0.00187,0.00144
20210104,20210104,51786742.49,53266233.96,0.00217,9.00E-05
20210105,20210105,120919997,46308415.8,0.00066,0.00194
20210106,20210106,68203150.39,66915214.65,0.00034,0.00071
20210107,20210107,60350104.13,60956173.29,0.00268,0.00202
20210108,20210108,62824034.73,61238638.54,-0.00038,0.00326
20210111,20210111,102980686.9,64301198.61,0.00069,0.00304
